"Gene_id","A02","A03","A04","A05","A06","A07","A09","A10","B01","B02","B03","B04","B05","B06","B07","B09","B10","C01","C02","C03","C04","C05","C07","C09","C10","D01","D02","D04","D05","D06","D07","D09","D10","E01","E02","E03","E05","E07","E09","E10","F01","F02","F03","F04","F05","F06","F07","F09","G01","G02","G03","G05","G06","G07","G09","G10","H01","H02","H03","H09","H10"
"ENSMUSG00000060461",2,2,220,29,5200,23,52,7140,18976,7616,908,31719,22428,28287,14150,25489,46848,611,28411,7,15816,18935,28314,2551,700,2586,0,105,14470,12377,28,1976,15476,34668,75,14404,4184,1688,41508,1830,43652,3531,151,4569,1008,9210,11483,7597,1337,66,4,15,6422,123,3,250,10,15473,35459,43698,36394
"ENSMUSG00000049382",23304,514,101,10397,43,14562,11648,2101,5600,177,13790,0,2,0,0,3,2,3,2,33942,623,6,0,176,375,96,260,0,0,720,1351,4060,521,0,965,3,1,2660,0,74,119,1748,386,1524,2279,0,0,10,1387,1778,38650,26785,191,23,12195,229,25395,0,2,319,6
"ENSMUSG00000032366",11346,2952,8258,8542,443,6452,7978,2470,1994,2697,10843,57,578,215,1042,97,1944,3172,375,8100,906,230,67,2129,4268,3465,1410,4202,32,368,2331,4412,626,403,4521,94,1111,4355,4,4244,938,4033,857,2322,8069,587,383,4464,2815,6349,20678,16379,9265,4986,10192,4211,8138,464,348,6713,410
"ENSMUSG00000032085",10045,351,286,4159,269,615,3617,53,1275,361,1018,148,1,203,0,0,0,165,0,2533,284,0,31,1201,753,330,584,1614,9,93,339,943,0,0,3222,0,0,1500,0,2574,3,651,278,647,2314,25,0,503,2890,2541,21446,12690,923,2818,340,1402,752,0,0,4078,0
"ENSMUSG00000020914",918,3350,1440,1786,756,2618,3619,6203,614,7111,8595,6647,498,0,2703,4077,636,4863,3444,2927,5446,2258,4398,4574,8267,2242,8953,12854,3545,129,307,38,117,2884,101,5412,3052,376,2002,1413,734,357,4525,833,6499,0,3415,2,11059,3843,0,7185,4618,4556,0,113,23684,1011,4003,10535,3743
"ENSMUSG00000029304",2381,524,0,0,1047,6619,181,11115,456,2,770,1,9282,0,0,3694,14485,3926,3791,92,1694,2648,2458,0,8171,3190,3,0,796,0,3,676,3,10610,94,2,1,364,44,935,11587,6003,1,1067,0,4,2,0,823,2304,7,3,5,806,1,3,2,3283,5327,12121,4790
"ENSMUSG00000002265",3783,2759,15515,3102,42,6980,0,267,671,336,2789,1255,17,28,1249,215,0,4068,644,7244,221,892,46,696,1303,0,448,3983,638,245,1597,18,530,0,101,2,73,388,998,649,0,812,1574,1820,1381,31,206,29,875,3716,20559,9946,3129,0,9866,938,2420,0,123,2326,1127
"ENSMUSG00000020407",0,0,0,296,609,45,0,0,315,0,0,655,2209,263,259,402,5710,578,12420,103,6019,3491,3413,0,778,4,0,4,6589,1324,10247,2,0,8768,3,1567,41,0,6298,373,2863,861,528,0,7,5709,133,172,920,1615,2,17848,0,142,3,40,2,2881,1853,0,2169
"ENSMUSG00000038793",0,13257,18928,6,108,3,925,2,1,8062,0,0,2,756,4,0,0,4002,0,0,0,2,194,2480,0,2560,10432,15915,1,788,2144,3,544,0,0,1395,2234,67,2504,252,2,7,3527,237,11821,2442,6,5975,332,197,0,0,867,307,985,1775,1527,3,3,1668,0
"ENSMUSG00000028645",3023,7333,2303,15118,3,5598,2163,1427,2736,2259,2612,1167,728,4297,1671,3057,4,2082,2577,10862,433,6751,7059,1,2272,2909,3442,5316,2566,3660,1182,1113,424,1453,3194,6059,2521,3366,1047,1229,0,1926,1825,4755,1635,958,1163,3966,1752,6659,10164,6008,3422,3279,0,3717,11647,6181,4288,484,1848
"ENSMUSG00000007872",224,658,1463,20242,2455,767,489,405,169,119,815,1185,0,572,0,0,5251,3395,2,2112,0,3994,1505,2206,2,3,1466,3131,202,206,0,298,2938,2,3071,3347,5,4820,0,421,957,93,147,425,132,0,165,1569,3859,3710,0,1393,659,0,735,103,431,1249,3033,0,229
"ENSMUSG00000023043",6630,636,1832,3440,958,6972,3948,979,3437,2,7508,0,0,0,10,4,0,7,1,11672,0,0,0,93,189,820,481,18,0,201,0,1612,420,0,1811,366,671,358,0,287,0,1556,0,956,615,0,0,0,0,907,12749,9106,93,77,2617,1448,7680,0,0,517,0
"ENSMUSG00000025287",14711,2754,669,5276,884,1262,3056,2892,4709,1946,3184,2195,2261,634,789,1682,4265,1157,2226,2645,997,493,114,2232,1212,994,863,5825,0,1691,610,494,1592,0,6204,921,57,1487,110,642,3229,937,1601,938,1779,1113,1342,1192,6650,3758,8171,5493,8,1269,567,1963,2811,0,573,6155,3995
"ENSMUSG00000029484",10565,1406,1263,6198,130,3307,3733,4166,4212,2815,6699,588,32,0,0,0,1567,1625,0,6154,387,9,5,733,537,3203,1119,2252,0,3,367,3505,0,0,3993,0,0,3641,0,82,635,2691,575,2340,3669,0,0,4892,8408,4123,4073,6132,4,2364,1902,1674,5983,0,0,7131,5
"ENSMUSG00000028179",4722,1722,3718,6822,638,4,2528,2437,1361,2816,2853,1583,0,345,288,0,1252,2270,994,10474,936,0,0,985,785,944,1078,6879,23,501,947,1043,0,5,1006,638,1236,1760,730,469,534,1523,549,1044,2989,0,952,573,8305,1218,2262,8360,1714,2192,195,2436,4576,0,1052,8348,2
"ENSMUSG00000036782",566,0,553,0,600,0,567,755,258,593,0,1135,4728,2,955,2751,5254,0,0,0,481,408,698,0,13,573,0,286,7728,349,53,740,115,2721,0,0,0,2,1853,0,2,1,0,111,0,0,0,0,0,0,0,0,54,1042,865,0,0,435,16545,96,5691
"ENSMUSG00000039323",1318,5691,6101,794,1693,1277,2612,1189,1257,2912,2604,228,5,4259,2067,1417,617,4276,1347,0,1073,1513,1283,2847,1766,2349,2273,1756,1975,4,52,2386,949,1880,2417,2267,2279,957,5612,4129,21,1263,1427,6907,1991,2810,261,1553,2292,2830,1671,1396,8940,4454,13169,1363,4480,2616,2334,9249,1043
"ENSMUSG00000032231",5089,113,0,8889,0,4750,1078,14,1621,449,3689,368,696,777,0,0,0,1614,0,5315,55,210,749,635,1023,1682,962,478,0,0,866,2070,27,313,1462,669,0,1137,0,2,714,1312,42,1572,2126,630,0,1985,771,2,15543,8210,719,782,3,369,4801,0,0,3345,0
"ENSMUSG00000020427",349,2085,2848,10273,2,2023,952,2711,579,54,1921,1,0,893,0,87,0,408,0,13182,243,2,4,848,356,4288,3746,4334,4,3,2083,458,0,334,1223,403,0,992,0,2352,0,1806,5941,1941,4079,1419,92,0,1866,1649,1343,6478,747,1071,4684,6247,2266,287,366,3647,2
"ENSMUSG00000001473",8016,1776,3284,6514,1224,1569,7514,1976,3443,901,4014,274,1002,22,1146,0,163,411,58,4354,2077,72,435,62,2069,1445,2631,2,41,823,1396,1031,631,2,1716,363,474,1559,631,1498,137,1999,1930,784,1628,1447,372,465,2043,1328,11311,1208,1229,2130,289,1105,3894,0,1629,1982,199
